comp_ref,Compound,smiles,HOMO,HOMO_1,HOMO_2,HOMO_3,LUMO,Dipole,Polar,Egap,IP,EA,Electronegativity,Chemical hardness,Electrophilicity,deltaN,cLogP,cLogS,Total Surface Area,Polar Surface Area,Relative PSA,ConcInh_M,TempK,Time_H,Med_ConcM,Med_ID,Method,IE
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0004,298,30,1,HCl,EIS,96.6
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0001,303,30,1,HCl,WL,86.7
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0001,313,30,1,HCl,WL,83.8
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0001,323,30,1,HCl,WL,80.2
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0001,333,30,1,HCl,WL,76.5
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0002,303,30,1,HCl,WL,91.1
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0002,313,30,1,HCl,WL,88.9
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0002,323,30,1,HCl,WL,86.8
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0002,333,30,1,HCl,WL,82.9
comp_3,"2-phenyl-3-(2-(4-
phenylpiperazin-1-yl)ethyl)quinazolin-4(3H)-one",O=C1C=2C=CC=CC2N=C(C=3C=CC=CC3)N1CCN4CCN(C=5C=CC=CC5)CC4,-5.745684206,-6.345423159,-6.411274713,-7.139451409,-2.154869677,3.2275,506.91,3.590814529,5.620723806,2.331330619,3.976027212,1.644696594,2.402995247,0.318583251,3.7338,-3.68,319.96,39.15,0.11001,0.0003,303,30,1,HCl,WL,93.9
